Species,mass,bmr,N,zona,origen
Lonchura oryzivora,25.4,0.31,N/A,Tropical,McKechnie & Wolf 2004
Vidua macroura,13.8,0.13,2,Tropical,UCR
Motacilla flava,14.7,0.26,N/A,Temperate,Wiersma et al. 2007
Anthus campestris,21.8,0.38,N/A,Temperate,Wiersma et al. 2007
Anthus pratensis,18.9,0.3,N/A,Temperate,Wiersma et al. 2007
Anthus trivialis,19.7,0.34,N/A,Temperate,Wiersma et al. 2007
Fringilla montifringilla,21,0.38,N/A,Temperate,Wiersma et al. 2007
Loxioides bailleui,36,0.46,N/A,Tropical,McKechnie & Wolf 2004
Himatione sanguinea,13.5,0.3,N/A,Tropical,McKechnie & Wolf 2004
Haemorhous cassinii,26.8,0.37,N/A,Temperate,Wiersma et al. 2007
Haemorhous mexicanus,20.4,0.31,N/A,Temperate,McKechnie & Wolf 2004
Acanthis flammea,16,0.24,N/A,Temperate,White et al. 2007
Serinus canaria,19.5,0.14,2,Temperate,UCR
Spinus tristis,12.8,0.33,N/A,Temperate,White et al. 2007
Spinus pinus,13.8,0.35,N/A,Temperate,Wiersma et al. 2007
Spinus magellanica *,11.6,0.2,1,Tropical,This Study
Euphonia laniirostris,13.5,0.29,N/A,Tropical,Wiersma et al. 2007
Euphonia xanthogaster *†,12.9,0.22,13,Tropical,This Study
Seiurus aurocapilla,19,0.24,N/A,Temperate,White et al. 2007
Parkesia noveboracensis,18.7,0.28,N/A,Temperate,White et al. 2007
Vermivora cyanoptera,7.8,0.15,N/A,Temperate,Wiersma et al. 2007
Protonotaria citrea,12.8,0.2,N/A,Temperate,McKechnie & Wolf 2004
Geothlypis trichas,10.6,0.17,N/A,Temperate,White et al. 2007
Setophaga citrina,12,0.22,N/A,Temperate,White et al. 2007
Setophaga americana,7,0.12,N/A,Temperate,White et al. 2007
Setophaga petechia erithachorides,12.2,0.14,N/A,Tropical,Wiersma et al. 2007
Setophaga petechia petechia *,8.9,0.2,N/A,Temperate,Wiersma et al. 2007
Setophaga palmarum,9.8,0.16,N/A,Temperate,Wiersma et al. 2007
Setophaga pinus,12,0.18,N/A,Temperate,Wiersma et al. 2007
Setophaga coronata,11.5,0.19,N/A,Temperate,Wiersma et al. 2007
Setophaga dominica,9.8,0.16,N/A,Temperate,McKechnie & Wolf 2004
Myiothlypis luteoviridis,14.7,0.24,12,Tropical,This Study
Myiothlypis signata,14.3,0.22,2,Tropical,This Study
Myiothlypis fulvicauda,12.8,0.35,1,Tropical,This Study
Myiothlypis bivittata,15.5,0.3,11,Tropical,This Study
Myiothlypis chrysogaster,14.4,0.28,2,Tropical,This Study
Myiothlypis coronata,17.4,0.33,13,Tropical,This Study
Basileuterus tristriatus,12.6,0.25,11,Tropical,This Study
Myioborus miniatus,9.8,0.2,6,Tropical,This Study
Myioborus melanocephalus,11.7,0.21,11,Tropical,This Study
Cacicus chrysonotus,94,0.85,1,Tropical,This Study
Amblycercus holosericeus,50.4,0.57,4,Tropical,This Study
Icterus galbula,37.5,0.5,N/A,Temperate,Wiersma et al. 2007
Agelaius phoeniceus,47.1,0.56,N/A,Temperate,Wiersma et al. 2007
Quiscalus quiscula,92.2,0.99,N/A,Temperate,Wiersma et al. 2007
Quiscalus mexicanus,137.3,1.13,N/A,Tropical,Wiersma et al. 2007
Sturnella militaris,38.2,0.44,N/A,Tropical,Wiersma et al. 2007
Coereba flaveola,11,0.24,3,Tropical,This Study
Emberiza schoeniclus,17.6,0.3,N/A,Temperate,Wiersma et al. 2007
Melospiza melodia,19,0.27,N/A,Temperate,McKechnie & Wolf 2004
Melospiza georgiana,14.9,0.21,N/A,Temperate,McKechnie & Wolf 2004
Zonotrichia capensis,22.2,0.31,3,Tropical,This Study
Zonotrichia querula,33.3,0.45,N/A,Temperate,McKechnie & Wolf 2004
Zonotrichia leucophrys,26.1,0.34,N/A,Temperate,McKechnie & Wolf 2004
Zonotrichia albicollis,20.2,0.28,N/A,Temperate,McKechnie & Wolf 2004
Junco hyemalis,18,0.3,N/A,Temperate,McKechnie & Wolf 2004
Passerculus sandwichensis,15.9,0.22,N/A,Temperate,McKechnie & Wolf 2004
Ammodramus savannarum,13.8,0.18,N/A,Temperate,McKechnie & Wolf 2004
Ammodramus aurifrons,16.4,0.26,2,Tropical,This Study
Spizella passerina,11.9,0.19,N/A,Temperate,McKechnie & Wolf 2004
Pooecetes gramineus,21.5,0.27,N/A,Temperate,McKechnie & Wolf 2004
Amphispiza bilineata,11.6,0.2,N/A,Temperate,McKechnie & Wolf 2004
Arremonops conirostris,39.7,0.45,N/A,Tropical,Wiersma et al. 2007
Arremon taciturnus *,27.7,0.42,4,Tropical,This Study
Arremon torquatus,42.8,0.47,6,Tropical,This Study
Arremon castaneiceps,35.7,0.53,1,Tropical,This Study
Atlapetes melanolaemus *†,25.5,0.34,20,Tropical,This Study
Chlorospingus parvirostris,23.1,0.33,9,Tropical,This Study
Chlorospingus flavigularis,26.5,0.33,15,Tropical,This Study
Cissopis leverianus,61.4,0.28,1,Tropical,This Study
Hemispingus atropileus,20.4,0.38,13,Tropical,This Study
Hemispingus superciliaris,14.6,0.32,3,Tropical,This Study
Hemispingus melanotis,17.3,0.32,8,Tropical,This Study
Hemispingus xanthophthalmus,13,0.19,3,Tropical,This Study
Thlypopsis sordida,14.9,0.31,1,Tropical,This Study
Thlypopsis ruficeps,11.9,0.23,5,Tropical,This Study
Trichothraupis melanops,24.9,0.45,9,Tropical,This Study
Eucometis penicillata,30.7,0.39,N/A,Tropical,Wiersma et al. 2007
Tachyphonus luctuosus,12.5,0.32,1,Tropical,This Study
Lanio versicolor,20.4,0.33,2,Tropical,This Study
Ramphocelus dimidiatus,26.4,0.37,N/A,Tropical,Wiersma et al. 2007
Ramphocelus carbo †,26.5,0.29,17,Tropical,This Study
Ramphocelus flammigerus,32,0.42,N/A,Tropical,Wiersma et al. 2007
Thraupis episcopus,30.4,0.42,N/A,Tropical,Wiersma et al. 2007
Thraupis palmarum,32.6,0.4,N/A,Tropical,Wiersma et al. 2007
Thraupis cyanocephala,38.2,0.46,13,Tropical,This Study
Thraupis bonariensis,34.8,0.56,5,Tropical,This Study
Buthraupis montana,89.7,1.02,9,Tropical,This Study
Anisognathus igniventris,35,0.44,24,Tropical,This Study
Chlorornis riefferii,49.8,0.51,8,Tropical,This Study
Iridosornis analis,27.1,0.47,3,Tropical,This Study
Iridosornis jelskii,20.6,0.38,9,Tropical,This Study
Pipraeidea melanonota,20.3,0.38,3,Tropical,This Study
Chlorochrysa calliparaea,16.9,0.25,5,Tropical,This Study
Tangara arthus,22.4,0.37,5,Tropical,This Study
Tangara xanthogastra,15.1,0.21,1,Tropical,This Study
Tangara cyanicollis,16.3,0.35,1,Tropical,This Study
Tangara larvata,16.2,0.24,N/A,Tropical,Wiersma et al. 2007
Tangara vassorii,18.5,0.23,3,Tropical,This Study
Cyanerpes cyaneus,13.5,0.27,N/A,Tropical,Wiersma et al. 2007
Conirostrum sitticolor,11,0.18,2,Tropical,This Study
Diglossa mystacalis,15.4,0.28,9,Tropical,This Study
Diglossa brunneiventris,10.6,0.24,4,Tropical,This Study
Diglossa cyanea,19.1,0.32,41,Tropical,This Study
Haplospiza rustica,18,0.14,1,Tropical,This Study
Sporophila americana,10.2,0.2,N/A,Tropical,Wiersma et al. 2007
Sporophila nigricollis,8.9,0.2,1,Tropical,This Study
Sporophila castaneiventris,8.5,0.2,4,Tropical,This Study
Oryzoborus angolensis,12.3,0.2,N/A,Tropical,Wiersma et al. 2007
Tiaris obscurus,12.1,0.16,2,Tropical,This Study
Catamblyrhynchus diadema,17,0.25,6,Tropical,This Study
Habia rubica,36.7,0.58,2,Tropical,This Study
Habia fuscicauda,40,0.36,N/A,Tropical,Wiersma et al. 2007
Cardinalis cardinalis,40.5,0.52,N/A,Temperate,McKechnie & Wolf 2004
Cardinalis sinuatus,32,0.39,N/A,Temperate,McKechnie & Wolf 2004
Saltator grossus,49.5,0.44,2,Tropical,This Study
Saltator maximus,44.8,0.55,N/A,Tropical,Wiersma et al. 2007
Saltator coerulescens,47,0.39,N/A,Tropical,Wiersma et al. 2007
Saltator orenocensis *,32.7,0.31,N/A,Tropical,Wiersma et al. 2007
Saltator striatipectus,42.1,0.51,N/A,Tropical,Wiersma et al. 2007
Cyanocompsa cyanoides,25,0.38,3,Tropical,This Study
